paid_at,created_at,total,total_amount
2020-12-04,2020-12-04,6073,3139564.13
2020-12-05,2020-12-05,1944,946702.23
2020-12-06,2020-12-06,1449,674971.0
2020-12-07,2020-12-07,606,249626.66
2020-12-08,2020-12-08,210,56796.66
2020-12-09,2020-12-09,409,114815.66
2020-12-10,2020-12-10,167,41460.07
2020-12-11,2020-12-11,204,71251.0
2020-12-12,2020-12-12,158,54980.0
2020-12-13,2020-12-13,55,16685.0
2020-12-14,2020-12-14,62,16630.0
2020-12-15,2020-12-15,74,27990.0
2020-12-16,2020-12-16,121,97100.0
2020-12-17,2020-12-17,103,29660.12
2020-12-18,2020-12-18,66,19085.0
2020-12-19,2020-12-19,48,14632.0
2020-12-20,2020-12-20,52,17260.0
2020-12-21,2020-12-21,55,21880.9
2020-12-22,2020-12-22,54,15665.0
2020-12-23,2020-12-23,65,14170.0
2020-12-24,2020-12-24,66,20896.0
2020-12-25,2020-12-25,90,29400.0
2020-12-26,2020-12-26,83,22300.0
2020-12-27,2020-12-27,54,19535.0
2020-12-28,2020-12-28,53,12285.0
2020-12-29,2020-12-29,53,22875.0
2020-12-30,2020-12-30,81,20950.0
2020-12-31,2020-12-31,70,20965.0
2021-01-01,2021-01-01,37,9355.0
2021-01-02,2021-01-02,48,12825.0
2021-01-03,2021-01-03,38,9010.0
2021-01-04,2021-01-04,76,22895.0
2021-01-05,2021-01-05,90,28635.0
2021-01-06,2021-01-06,69,22460.0
2021-01-07,2021-01-07,93,29865.0
2021-01-08,2021-01-08,68,24760.0
2021-01-09,2021-01-09,82,24690.0
2021-01-10,2021-01-10,60,21280.0
2021-01-11,2021-01-11,78,19360.01
2021-01-12,2021-01-12,66,17370.0
2021-01-13,2021-01-13,309,47625.0
2021-01-14,2021-01-14,131,29940.0
2021-01-15,2021-01-15,109,31150.0
2021-01-16,2021-01-16,88,19565.0
2021-01-17,2021-01-17,42,12595.0
2021-01-18,2021-01-18,111,25425.99
2021-01-19,2021-01-19,100,23945.66
2021-01-20,2021-01-20,188,37415.0
2021-01-21,2021-01-21,376,42072.0
2021-01-22,2021-01-22,351,50470.66
2021-01-23,2021-01-23,393,49215.0
2021-01-24,2021-01-24,165,28565.0
2021-01-25,2021-01-25,317,50485.0
2021-01-26,2021-01-26,451,83920.0
2021-01-27,2021-01-27,490,102790.0
2021-01-28,2021-01-28,660,125645.0
2021-01-29,2021-01-29,1161,195085.04
2021-01-30,2021-01-30,617,113885.01
2021-01-31,2021-01-31,659,133481.0
2021-02-01,2021-02-01,1545,316943.41
2021-02-02,2021-02-02,2721,562961.01
2021-02-03,2021-02-03,2220,385996.01
2021-02-09,2021-02-09,4,1330.0
